isEdited,developerResponse,rating,title,review,date,userName,app_name,app_id
False,"{'id': 21742805, 'body': 'Thank you for a great review, 1963wolfie! 😍 As for the Whispered Stories, please note that if you tap ""Library"" and then select ""Sleep Stories"" under the ""Sleep"" category, you will see various types at the top. Whispered Stories are just one of the types available there, and you can see all other types at a glance. We regularly add new stories to the app, so please drop us a line at support@breethe.com and let us know which ones you\'d like to hear. We hope to hear from you soon! 🥰', 'modified': '2021-03-18T21:37:58Z'}",4,Great app!!,"This app has been really useful and certainly helps me with sleeping! I really enjoy the stories and all the other content too. However I can only give it four stars because of the whispered stories. They are very hard to listen to and it is not relaxing at all trying to concentrate on something that should be easy to hear. In addition I wish they weren’t mixed in with the normal hearing sleep stories, perhaps they could have their own section because it’s frustrating to go through the whispered stories since they are not usable to me. It’s also disappointing that there’s so many great titles in the whispered stories and I will never be able to hear those ones. Please also consider recording whispered stories also as regular hearing stories. Thanks for the great app and in advance for your possible consideration to my suggestions.",2021-03-16 21:39:11,1963wolfie,breethe-meditation-sleep,920161006
False,"{'id': 22599663, 'body': 'Hi MaryTBK ❤️ Thank you for taking the time to write this review. Please note that the daily Breethers are selected to help with all sorts of different aspects of your life. Some may fit your current situation perfectly and others may resonate with another person more on that day. This being said, we appreciate your comment and will definitely keep it in mind going forward. Thank you! 🙏', 'modified': '2021-05-03T20:35:40Z'}",3,Pretty good,"For years, this is the primary app I use to meditate and I use to love it. The daily breathers are short and sweet so I do them almost every single day, but lately I find them less appealing. The whole “think about someone you love... now think about someone you’re neutral towards, etc ” approach not only makes for a really distracting meditation, but also makes me examine my relationships instead of looking inward. When I meditate, I try to calm the monkey mind - not feed it by thinking about the different people in my life. I already do that enough! Please pull back in that approach and guide us in the here-and-now instead like you use to. I was questioning whether or not I should subscribe to another year, but the last few months have made me think that I may not. It’s too frustrating leaving a meditation more worked up than when you went in.",2021-04-30 14:55:12,MaryTBK,breethe-meditation-sleep,920161006
False,"{'id': 22904087, 'body': ""Hi TKFishy 🤝 We're sorry to hear about the issue! We do respond to every single message within a maximum of 24 hours and process cancellations as soon as we receive them. Please check your spam folder, as our reply could have ended up in there! We would very much appreciate it if you could confirm that you received it (at support@breethe.com). We're looking forward to hearing from you! 🥰"", 'modified': '2021-05-19T21:42:56Z'}",2,Difficult to cancel-warning!!,"I decided to cancel my trial after being billed for the first month’s subscription and they make it exceedingly difficult to do so. I emailed support with the subject line ‘account cancellation’ and they responded fairly quick with a follow up saying I would have to cancel through Apple unless it was being paid via credit card or PayPal in which case they would help. I responded to let them know it is billed through PayPal and...crickets, zero response or follow up.  Apparently they only want to talk to you if you’re willing to give them money? I’ve been forced to go through PayPal and remove/block their payment agreement and will be watching closely to make sure that works.

I’ve always thought that a true measure of a company is what they do to retain customers, but not having the ability to cancel easily leaves a very bad experience and completely negates the possibility that I’d consider them for future use. Do not recommend.",2021-05-18 14:24:47,TKFishy,breethe-meditation-sleep,920161006
False,"{'id': 20934800, 'body': ""Thank you for taking the time to write this review, Jamie KCK ❤️ There are actually a couple of hundred of free items for you to enjoy without having to pay! As for the other issues you described - it sounds like they are internet connection-related. Please contact us at support@breethe.com and we'll be happy to check it out and assist you. We hope to hear from you soon! 🥰"", 'modified': '2021-02-08T17:35:35Z'}",3,Honest Review,"I downloaded this app yesterday.  Here’s what I found.  There is hardly any content that can be used without a subscription.  I decided to do a month subscription to see if I liked it.  The app seemed to be working alright until I paid for the subscription.  After I was able to unlock all the content the app wouldn’t load.  I restarted my iPhone twice.  The app just kept “thinking”.  Eventually I got it to load and played a sleep playlist with several songs. I asked it to play all of them, it didn’t.  I had the same issue with a relax playlist this morning.  The app is now having the loading issue again.  I don’t know about this app being life changing but I do know it’s been frustrating which is the exact opposite of its purpose.  I will most likely cancel my subscription and try Calm.",2021-02-04 18:38:06,Jamie KCK,breethe-meditation-sleep,920161006
False,"{'id': 23295335, 'body': 'Thank you so much for a wonderful review, FrankatD 😍', 'modified': '2021-06-09T21:48:15Z'}",5,Speaks to my Soul!,I was lucky to get in on a lifetime membership sale & I love this app so much. I use it every single day! I download my favorites & listen anywhere. I am so appreciative of Lynn Goldberg & her many contributions to mental health. So many new content additions are wonderfully unique. I love Tasha’s grooving music & message to cut loose! And Bethany’s soulful soothing voice meditations. Ryan Harrison’s bedtime whispered stories are the best. Glenn Harold’s hypnotherapy & meditations are helping me sleep better & Bradley Morris has quick messages for busy days. Just a few of my favorites. Today I listened to Sara Ablinger & her Morning Peace & Grace was a perfect start my day. Peaceful pauses & acceptance for myself & others has changed my life! I hope you take a leap & join.,2021-06-08 00:11:46,FrankatD,breethe-meditation-sleep,920161006
False,"{'id': 22903920, 'body': 'Hello Barb177 ❤️ Thank you so much for a lovely and detailed review! 😍', 'modified': '2021-05-19T21:14:12Z'}",5,"Best, most used app on my phone.","Absolutely-LOVE  this app.    This is the most expensive app I have.  So 
I think I enrolled for the year by mistake.  BUT I now listen at least twice a day, most days. 

It’s absolutely calmed me enough that, with help of my doc, I’m lowering, and intend to go off my anxiety drugs. My life is so much more positive in spite of the enormous responsibilities and concerns for my future. 

If you have any kind of anxiety, want to learn meditation, need help sleeping, need help getting started in the A.M., need help with patience with someone you live with, or for so many concerns.... this app is IT.  

Though most tapes are non religiously oriented, there are plenty that are. 
There’s prayers for wake up a, for bedtime, or any time. Prayers for help, for thanks, learning gratitude, inner peace, releasing pain, and learning to feel the Lord around me and to show his grace in the day’s interactions.
I’ve been listening for a month and feel it’s responsible for my increased energy and happiness. 

There are so many subjects,(even tapping) with ability to search a subject. I love trying new ones and save the best.",2021-05-18 13:45:01,Barb177,breethe-meditation-sleep,920161006
False,"{'id': 20815236, 'body': ""Hi TianaFarrant, it seems that you accidentally turned off the repeat function in the app 😉 As soon as you turn it back on, the issue should be resolved. Please drop us a line at support@breethe.com if you need assistance with that and we'll be happy to help! 😍"", 'modified': '2021-02-02T19:32:34Z'}",1,Perfect until the latest change...,"Breethe is my #1 go-to for sleep music. I literally use it every single night and have it on repeat so it plays the entire time I’m sleeping. However, lately there’s this new “well done!” page that shows up at the end of one session, meaning the music stops. So, now I wake up in the middle of the night, notice the music isn’t playing, go into the app, have to close this new “well done!” page, and then start the session over again. If it is at all possible, please remove the page after each session and store the page in “my account so people can access it when they want. Or don’t have that page show up after the sleep sessions since they are designed for sleepers who won’t be awake to see the page anyway. I would be more than happy to give a stellar review if this is fixed. Thank you!",2021-01-31 13:43:28,TianaFarrant,breethe-meditation-sleep,920161006
False,"{'id': 20485641, 'body': 'Thank you so much for taking the time to write this review, hfoolio! ❤️ ', 'modified': '2021-01-18T21:05:08Z'}",5,Must have app for a better life,"There's plenty of apps out there that complicate and stress our lives more than they need to be. This app is worth every penny to help you find balance and peace for whatever is going on in your life. 
I love that you can search for specific situations, types of meditation, session lengths. I love the variety of instructors and that they're constantly offering new voices and sessions. 
This app has helped me through so many hard times and it genuinely is something that helps my anxiety and stress. 
Thank you for making this platform! Favorite app hands down.",2021-01-16 03:59:18,hfoolio,breethe-meditation-sleep,920161006
False,"{'id': 20694709, 'body': ""Hi cookiekenya. Thank you for taking the time to write the review! We're happy to hear that you enjoy the app. As for the pricing - please contact us at support@breethe.com and we'll be happy to let you know of the special offers available at the moment. We're looking forward to hearing from you! 😍"", 'modified': '2021-01-27T21:22:43Z'}",4,The app is great but there are many locked items,"First off the app is amazing it definitely calms people down so they can get some rest, but the thing is that there are some things that cost and I just don’t have the money to buy a lot of items especially during COVID and plus there are only 2 or 3 items in the places where you choose if you need sleep or or if your felling down or want to meditate b overall that app is great i just think it would be amazing if the prices were cut a little bit instead of them making it 90 dollars so yea but overall as I said it’s great",2021-01-26 06:44:37,cookiekenya,breethe-meditation-sleep,920161006
False,"{'id': 20198839, 'body': ""Thank you for a wonderful review, iamweird07 🥰 It's great to hear that you appreciate our work! 😍"", 'modified': '2021-01-05T18:12:17Z'}",5,So Amazing!,"This app is absolutely AMAZING! For anyone who doesn’t have this app, you should get because it increases your health mentally and helps you feel more relaxed, the most relaxed you’ve ever been. And if you ever have trouble sleeping, this app has night time music,nature sounds,bedtime stories,and more! And this app will give you tips and lessons on how to relax your body and clear your mind. I am telling you that this app is amazing,and i’ve never loved a app as much as i love this one! Please get it,i am begging🙏",2021-01-04 10:59:56,iamweird07,breethe-meditation-sleep,920161006
