isEdited,review,rating,date,userName,title,app_name,app_id,developerResponse
False,"I was pinged to renew my annual subscription and decided against it. I’ve had Pzizz for almost 12-months. The stories are interesting and I enjoy the majority I have heard. However the “music” selection one can choose to pair with the story is often macabre sounding to me. Not all of it, but I find it to be monotone, synthetic random sounds. Hard for me to explain but If there were soft instrumental music and / or a selection of nature noises w/ music to add to keep playing after the story, I would have renewed. There are other sleep apps which offer this, and are actually less expensive. They also offer endless stories…I hope you consider this in the future for those who prefer different “music”.",3,2021-06-26 04:25:05,GaryinOrinda,Not for Me,pzizz-sleep-nap-focus,915664862,
False,No other app can make me fall asleep quite as fast as Pzizz. I usually lay awake at night for hours on end unable to sleep but I am out usually within minutes every time I use Pzizz. I am so happy to finally have found something that works for me and I can’t wait to tell all my friends so maybe they can finally start getting some sleep!!,5,2021-04-18 05:47:00,LunaWolf0012,This app is awesome.,pzizz-sleep-nap-focus,915664862,"{'id': 22745164, 'body': ""That's really great to hear, we're happy to hear Pzizz is helping you get better sleep :)\n\nHappy pzizzing!"", 'modified': '2021-05-11T12:11:11Z'}"
False,Was a traveling consultant that needed something to help me sleep and found this on the App Store. I genuinely use this every night. I’m out within 20 mins maximum. This is one of the few apps I actually pay for (because who has money to pay for a bunch of apps?),5,2021-03-24 06:48:37,Christuhfuhr,I’ve used this app for over 3 years,pzizz-sleep-nap-focus,915664862,"{'id': 21914110, 'body': ""Thank you! Really happy to hear you're finding Pzizz helpful :)\n\nHappy pzizzing!"", 'modified': '2021-03-29T05:39:48Z'}"
False,I have a pro subscription on my iPhone and bought a Samsung tablet and couldn’t get the Pro registered there. Their customer support was superb. Their ‘normal’ steps didn’t work so Zac got the developers involved and they soon had it resolved. Response was always same or next day. Refreshing!,5,2021-01-02 16:54:51,MATgjjgdtvv,Superb customer support,pzizz-sleep-nap-focus,915664862,"{'id': 21446583, 'body': ""Thank you for the stars! And I'm happy support were able to help you out :)\n\nHappy pzizzing!"", 'modified': '2021-03-04T11:45:48Z'}"
False,"I have used Pzizz literally since it would generate an mp3 that I could copy on to an iPod. So incredibly helpful - with limited sleep, frequent interruptions - even the general deterioration in ones sleep cycle as we age - this has been a lifesaver.",5,2021-05-30 14:33:17,dunstone,Life changing,pzizz-sleep-nap-focus,915664862,
False,I have used Pzizz for many years. It is a the key to my power naps and I would not be able to recharge with out the great nap function. If you have trouble relaxing and falling asleep I would totally recommend you try Pzizz!,5,2021-02-27 14:56:38,Æber,Best Sleep App,pzizz-sleep-nap-focus,915664862,"{'id': 21441706, 'body': ""Thank you! Really glad to hear you're enjoying using Pzizz :)\n\nHappy pzizzing!"", 'modified': '2021-03-04T08:14:21Z'}"
False,This is the best sleeping app that I have ever used it makes me fall asleep within minutes. Just listening to the sweet and smooth voice with the exceptional and unique background music is the best combination ever.,5,2021-04-29 08:12:28,nmelton75,Best sleep ever,pzizz-sleep-nap-focus,915664862,"{'id': 22742999, 'body': ""Thank you! Really glad to hear you're enjoying Pzizz :)\n\nHappy pzizzing!"", 'modified': '2021-05-11T10:36:04Z'}"
False,This app is aaaammaaaaziiiinnnng!!!! It really makes a difference when you have crackhead energy at 11 and have to be up early in the morning! Very much recommend!,5,2021-05-30 02:58:16,Chandler Mathis,Amazing,pzizz-sleep-nap-focus,915664862,
False,"Often the narrative is the same every night.  I’m used to it, but would like something different every night.",4,2021-05-24 02:02:24,Xu zu 2,Can be great...except..,pzizz-sleep-nap-focus,915664862,
False,"This is the best app. I use it everyday... every single day.
I can’t live without it as it helps me tremendously with my tinnitus and anxiety at bed time.❤️❤️❤️",5,2021-01-28 13:37:00,IvanaDance,Best sleep app!,pzizz-sleep-nap-focus,915664862,"{'id': 21446810, 'body': ""Thank you, and we're really happy to hear you're enjoying Pzizz and finding it helpful :)\n\nHappy pzizzing!"", 'modified': '2021-03-04T12:02:36Z'}"
