rating,title,review,userName,date,isEdited,developerResponse,app_name,app_id
4,"Love this app but, …","I love this app very much. I really like all the tools it has to improve mood. The primary reason why I am giving this four stars instead of five stars Hass to do with the accessibility with voiceover. Voiceover is an accessibility service that changes how the device works to help blind and visually impaired people like me use the touchscreen. In order for voiceover to work well, the app and the interface Hass to be programmed right. Don't get me wrong, because I do think this is one of the most accessible apps for mood out there, but it is lacking a couple of things with voiceover accessibility. For example, when I try to customize the days for a reminder, voiceover does not give me any indication of which days are checked off. For the days that are checked off for the reminders, why not have voiceover say something like M selected or M checked? That would give blind and visually impaired users an indication that Monday is checked off. Otherwise, everything else about this app is great. If it wasn't for the voiceover accessibility problem, then I would give this five stars.",KNE06482,2021-01-03 20:28:01,False,"{'id': 20562233, 'body': ""Thank you for taking the time to provide this feedback. It's very helpful and something we want to incorporate into future versions. Gratefully yours!"", 'modified': '2021-01-21T20:13:24Z'}",moodfit,1054458809
5,App has helped me out a lot 💪,"The app is pretty awesome to be honest. I never thought I’d be keeping track of my moods through an app but here I am…. And it’s definitely helped me with keeping track of my moods and other daily goals I set. The CBT part of the app is probably my favorite though. Anytime I have distorted thinking, I’ll go in the app and write out why I was feeling the way I was, or at least try to figure out why I was feeling like I was and try to work through it so I can try to rewire the way my brain acts I’m certain situations. I have adhd, bi-polar disorder as well as a couple other disorders and this app has definitely helped in keeping me somewhat sane…. Try it out!",ameswigg,2021-06-25 16:41:02,False,"{'id': 23605195, 'body': 'Thank you for the review! We’re grateful to hear how Moodfit has been helpful and that you like the CBT tool. 🤗 ', 'modified': '2021-06-27T02:31:55Z'}",moodfit,1054458809
4,Amazing!,"I truly love this app. I've been using it since around September 2020, and I am starting to schedule it back into my routine again. It helps me to develop a schedule around understanding my emotions and anchoring me during rough parts of the day. 

The only thing that I wish was better was how long the loading time is when I update an activity. Navigating the app is a difficult because the page-loading-time is slow, even when connected to stable WiFi. This is something that needs to be improved upon, especially when you have a subscription. However, it is a wonderful resource despite app navigation.",26454!,2021-03-01 02:04:45,False,"{'id': 22201095, 'body': 'Thank you for the review. We have worked to improve the performance. Please drop us an email, hello@getmoodfit.com and let us know exactly what activity is taking too long so we can address it. Thank you again!', 'modified': '2021-04-12T20:37:38Z'}",moodfit,1054458809
5,Free Yet Complete,"I have been testing several free emotion trackers as a therapist to recommend to my clients and this one is my favorite. It’s not super fancy or cute like some of the others, but it is incredibly easy and straightforward, and has several helpful (and research based) tips and skills for different moods and such. It does a lot more than track mood, but food, exercise, gratitude, etc. The designers did a great job.",Hne913,2021-02-12 00:08:21,False,"{'id': 21119944, 'body': 'Thank you for the review and for recommending Moodfit to your clients! BTW, we have a program for therapists to make Moodfit available to their clients. Email us, hello@getmoodfit.com and we can send you details. Thank you again!', 'modified': '2021-02-17T18:19:59Z'}",moodfit,1054458809
5,Getting out of a slump,I was stuck in a lot of laziness and bad habits and didn’t know what steps to take to bring myself out of it. This app is helping me be mindful and take action in my life rather than letting it pass me by. I can’t wait until a year from now when I get to look at my progression and actually see the improvements I’ve made. Awesome app! Would recommend!,frederick II,2021-03-12 15:28:10,False,"{'id': 22201040, 'body': 'Thank you for the review! So happy to hear that Moodfit helped you get back to the basics and to get moving and taking action. Gratefully yours!', 'modified': '2021-04-12T20:31:24Z'}",moodfit,1054458809
5,Keeps me focused!,"I have tried multiple apps to help with my anxiety & depression- this one allows me to track everything in one place, making it very easy to describe my moods in words- helps me to refocus with positive prompts- which I can change the topics of easily. I am a pen & paper girl, but this app helps me consistently track the things I want to!!",tsnowdy625,2021-02-18 15:15:35,False,"{'id': 22201150, 'body': ""Thank you so much for the review! We hope you've discovered the custom shortcuts that you can create to make identifying and entering journal entries easier. Gratefully yours!"", 'modified': '2021-04-12T20:40:32Z'}",moodfit,1054458809
5,Free version is still 5 star,"So I’m a broke college kid so I can’t pay, however with the tools of the reminders and even having the 6 daily activities have done WONDERS for my mood. Thanks developers for making free aspects still very very useful, it’s been hard trying to find something that’s free. I really am deeply grateful for this app :)",Legendary app!,2021-03-25 15:55:21,False,"{'id': 22201029, 'body': 'Thank you for the review! Send us an email, hello@getmoodfit.com. And we can try to help you with a student discount.', 'modified': '2021-04-12T20:30:38Z'}",moodfit,1054458809
5,Love the customization,I am really liking this app.  I love that there are so many options for customization that make the  mindfulness activities personal for what I need.  I like that the sources are listed on the educational materials so I can read the actual research if I want. This is the most comprehensive app for mindfulness that I have found.,Anacronyzm,2021-03-05 16:16:50,False,"{'id': 22201078, 'body': 'Thank you for the review! With much gratitude!!!', 'modified': '2021-04-12T20:35:22Z'}",moodfit,1054458809
5,Amazing app!,"I have found Moodfit to be such a helpful app for me. 2020 has been a challenging year consisting of a lot of change that hasn’t been fully processed. This app has helped me slow down, put negative thoughts into perspective, and focus on gratitude and mindfulness, which is helping so much as I progress into this new year.",Mick1984.,2021-01-06 07:15:15,False,"{'id': 20562205, 'body': 'Thank you for the great review! So glad to hear that Moodfit has been helpful to you to get through the challenges of 2020.', 'modified': '2021-01-21T20:11:44Z'}",moodfit,1054458809
5,Mood Fit,"This app has changed my life! It has so many features and keeps me constantly in check with my mental health. I’m more aware of my thoughts , feelings, and reality. Helps me stay grounded and has tons of in app features to get you through tough moments. 10/10 recommend!",Megan857472,2021-02-11 19:16:05,False,"{'id': 21119964, 'body': 'Thank you for the review! You just made our day hearing about how Moodfit has been helpful to you. With gratitude!', 'modified': '2021-02-17T18:20:58Z'}",moodfit,1054458809
