isEdited,userName,rating,date,title,review,app_name,app_id,developerResponse
False,antoniastam,4,2020-09-07 22:48:18,Increased Interconnectivity,"MindShift claims that it is geared toward adolescents, and therefore, its functionality and appropriateness should be evaluated through the psychosocial development of adolescents. According to Laser (2010), it is important for adolescents to have an ample vocabulary to be able to identify their emotions beyond “tired” or “fine.” Adolescents experience complicated emotions during this time of life, and it is crucial that they are able to identify and name these feelings, especially so they can have control over their behaviors and learn to self-regulate. MindShift does a fine job of supporting this necessary development of adolescence, as it provides the user with an in-depth list of emotions tied to their anxiety and specific symptoms they may be experiencing. While MindShift allows users to share progress with whomever they please, it does not allow for interaction among users. According to a recent study conducted through a social media website for adolescents with depression and anxiety, one of the most liked features was the ability to write on blog posts and see positive quotes and stories (Radovic, 2018). Adolescents oftentimes use social media to feel connected to one another, therefore, MindShift should consider enabling a feature that allows adolescents struggling with anxiety to share their stories with each other.",mindshift-cbt-anxiety-relief,634684825,
False,carlyfisher,4,2020-09-08 16:57:29,MindShift CBT review!,"After reviewing and critiquing MindShift CBT, I rank the app a 4 out of 5. While the app has many strengths such as providing a simple and user friendly preface that allows its users to very easily use it as a positive tool, I feel that if there was a social aspect with the app, it would attract more users. Especially given that the adolescent population thrives off of forming connections and having a social network. MindShift CBT is very informative without being intimidating or overwhelming. I feel if the app incorporated additional videos and/or other visuals, it would be more appealing to adolescents as the app is primarily filled with just text. Many adolescents are visual learners and this is a weakness I see within the app. I would highly recommend this app to adolescents I plan to work with in the future as well as recommend it to adults looking for another outlet to help explore their own anxiety and mental health.",mindshift-cbt-anxiety-relief,634684825,
False,jborjon,4,2020-06-15 20:19:28,Review,"I’ve used this application for about a week now and I can happily say that this application is a great tool to use! It’s geared more towards teenagers who are dealing with a form of anxiety. It’s user friendly and easy to use. I am able to customize this application to my own experience making it a unique experience. The audio section in this application was soothing and relaxing. It helped me tremendously when experiencing high levels of anxiety. This application was free which is a feat benefit and I was able to to text my information with a passcode. Although this application can be used for anyone who has access to the store, it’s intended to be used more towards adolescents. This application is a tool to help with anxiety however if symptoms get worse or are more severe this unlikely work.",mindshift-cbt-anxiety-relief,634684825,
False,anxious alyssa,5,2021-05-04 06:06:31,Great tools and info!,"As a young adult I’ve always had some small level of anxiety that I’ve dealt with. The pandemic and job stress has just amplified all of that. I don’t think my anxiety is so severe that I need to get a therapist (mostly because of the cost) so I wanted to find ways to manage my anxiety. This app is exactly that! It’s extremely educational and user friendly to the point where I can feel my anxiety diminish as I’m using it. Just reading through the descriptions of “perfectionism” made me feel so much better because I’ve always been a perfectionist and I had never realized how that affected so many aspects of my life. I’m not free from anxiety, but I’m slowly learning how to manage it thanks to the great info and tools provided by this app.",mindshift-cbt-anxiety-relief,634684825,
False,AK|TwistiTwik,5,2021-04-20 19:43:42,The ball was a bit of the glitch and I didn’t get to it again until the last update,I don’t want to see you but I don’t want to see you again I don’t want to see you again I don’t want to see you again I don’t want to lose it all you again I don’t want to see you again I don’t know what I want you to say that you don’t have anything to say bye to you bye y’all don’t have a lot to say I don’t know what you want me I want you don’t know I love that you’re not gonna like me anymore I’m sorry I just want you to know I don’t want to see you again I don’t want to lose you but you don’t have anything to or do you or me I know you have no idea how about that I love that I can help me with this and you don’t want me bye,mindshift-cbt-anxiety-relief,634684825,
False,KevinO Loyola,4,2021-02-02 16:20:12,"Overall great, age range issue","This app is really well thought out. It is a great avenue for people that struggle with anxiety or worry a lot. My issue is with the recommended age range for this app. To get the most out of this app you need to be able to give pretty well though out out answers as well as have a good reading ability. I think it’s is best for adolescents or working adults. Tracking your progress is a large part of this app and at four years old it’s not going to happen. A lot of people who struggle with anxiety etc are too afraid to get help from a person, so this app is perfect for them.",mindshift-cbt-anxiety-relief,634684825,
False,TJHooker33,5,2020-01-29 19:37:17,App is a godsend,"I honestly didn’t expect this app to be so important in my day to day life. I love it! It’s been so helpful! It helps me identify and balance thought traps, it provides a space for setting goals (with schedules, and offers quick suggestions for calming and grounding myself. Many thanks to those who put this app together!

Update: I can’t get the Share function to work. I select items and date ranges but tapping Share doesn’t do anything. Do the developers have an idea of why it doesn’t work?

Update: The app requires that you use Apple’s Mail app as an email client (mine was uninstalled)",mindshift-cbt-anxiety-relief,634684825,
False,Howland19,5,2020-10-22 23:33:34,Mindshift Review,"This app has allowed me to help control or decrease my anxiety. The different activities and voice recordings allowed me to find new ways to relax. The voice recordings of breathing were very helpful. As you listen to the person speaking they help you take your mind off of what is bothering you. There are different categories to help you shift your mind from phobias, general aniexty, and panic attacks. Each sections helps break down what could be triggering what happening and allow you to understand what is occurring, so you can over come it.",mindshift-cbt-anxiety-relief,634684825,"{'id': 19073526, 'body': 'Thank you so much for your review! We are pleased that you liked our app. Please recommend our app to your friends, and don’t hesitate to shoot us a note at mindshift@anxietycanada.com if you have any questions.\r', 'modified': '2020-11-12T19:23:25Z'}"
False,MSWKIMBERLY,4,2020-06-16 13:55:38,Great app for anxiety!!,"Mindshift is a great application, especially for adolescence who are working to cope with their anxiety. It offers a wide range of tools that can be used as well as a function to track one’s progress with a professional. While, there are weaknesses to the application, those weaknesses do not interfere with the main function of the app. Not to mention, those weaknesses can be improved with a new update. This app is highly recommended for adolescence who are struggling with anxiety and want an easy to use, accessible, free application to work through those anxieties.",mindshift-cbt-anxiety-relief,634684825,
False,Dblay,5,2020-04-18 02:43:23,Helps out a lot,"This app is really great and helped me out with some of my anxiety with many of the different tools that it has. Some of the different things that I really liked about this app is healthy thinking, chill zone, and taking action. The chill zone helped me a lot with the different breathing patterns and helped me relax, the taking action helped me over come what my anxiety was about. I also really liked that I could make some goals which would help me get ahead of some of my anxiety.",mindshift-cbt-anxiety-relief,634684825,
