date,review,userName,rating,title,isEdited,app_name,app_id,developerResponse
2021-02-01 16:54:36,"This app is very good at its job; and I’ve only been using it for a day. Even though you have to pay for somethings still, it’s not getting in the way of you using the app. At all really. Are use the free version and it’s still great. Like with some other apps you have to bye like pretty much the entire thing to be able to use the app and if you don’t want to buy it then it’s pretty much just getting in the way of you using the app in its entirety. Which is quite annoying (specially in the fact that that’s pretty much every app out there). I am only reading this app five stars because of what I’ve seen so far. I haven’t been using it for that long clearly, but it still seems to be working. I love how you can customize pretty much the entire thing just to your liking. It is very good with letting you speak without caring. Like when you sometimes need to just talk but you can’t talk to specific people or you just feel like you can’t talk to specific people; yes well now you can. I love how you can just speak into it and not even care. Very good tool for remembering your thoughts and how you felt. Sometimes in the moment you don’t quite remember all of the things that happened to you and that day that you would like to remember and sometimes writing it down just doesn’t quite cut it. Anyways overall this app seems to be pretty good. It’s cute, it makes me feel good about myself, and makes me feel happy overall. I would recommend this app to a friend.",magtb,5,Great!,False,reflectly-journal-ai-diary,1241229134,
2020-03-14 01:43:51,"Overall, Reflectly is great app!! I really get to know myself better. Sometimes I don’t like speaking to people about my problems, so this app is PERFECT!! I don’t know why, but I feel more collected, calm, and less easily be irritate after I use this app in the morning. I’m just less likely to blow up and scream after my sister doesn’t give me my space and thinks she is the boss of everyone and everything!! This is app is so awesome!! ♡ ♡ ♡ ♡ ♡ ♡ 
  Every great app always has multiple minor flaws. Reflectly only has 1 minor flaw: There price of the special membership. It’s Special 
membership price is about $80 a year. That’s a bit much. The thing says that it will help you become happier when Reflectly helps you solve your problems. I think you should get that no matter what! That isn’t a reason to pay that much a year. I’m not trying to hate on this app. It’s a great app!! I love it! I just mean Reflectly shouldn’t have the price of a special membership be so high! Some people have many problems and don’t know how to fix them. Those type of people need Reflectly to help them with those problems without paying $80!! This is a great app anyways! I think if you maybe take the price away, it’ll be the BEST app that you can have. What’s not to like; you get to know yourself better, not get irritated easily, and most importantly, BE YOURSELF!!",MilkTea&Boba,5,Just like a therapist!! But free!!,False,reflectly-journal-ai-diary,1241229134,
2021-01-02 17:27:07,"I reached out to the reflectly team to get help for my issue below and Nicole reached out to me with a very supportive response and was able to immediately fix the issue and get me my membership. I really appreciated this and am happy to be starting my new year with this app! Thank you again! 

I downloaded the app and it immediately asked for a year subscription, I was interested and decided to buy. It purchased and had me do my first log of my mood. I did that and everything was great! But then it asked me to create an account so I typed in my email address and it said this is already in use, maybe try signing in? So I backed out of the app to go back to the home page where i could sign in and I signed in successfully. But I checked my account and not only is my first log missing but the subscription was missing and it said ""basic plan active"" so I was confused and clicked on the ""activate reflectly"" and clicked redeem offer to see if when it connects to my apple account it will recognize I have already paid for the subscription. Well it didn't and charged me again because I got a text from my credit card saying I was charged another $63 but the app said ""error occurred"" and never gave me the subscription anyway! Point is I have two payments of this year subscription and no subscription. Please help",Kk11114,5,Updated review!,False,reflectly-journal-ai-diary,1241229134,
2020-04-02 15:01:50,"I have been using this since I was 4 years old! I know that sounds so weird but it’s true! Every time I went home I would sit on my iPhone and will ya know! Write my feeling, what I did today, but there’s a question... WHY IS THIS APP SO GOOD!! I know I know I’m going to crazy, it’s just I love this app so much that I wanna write again when I was 4 years old I used to write a lot, but when I turned 8 years old I started stopping to write... but now since I’m 20 I wanna write again! I know it sound weird because I’m 20 years old again so i wanna write again!This app is amazing I want updates also! I don’t care if it’s a little update or a big update but..I like it the way it is it’s beautiful 😍 I hope you feel good, this is a quote I made “whenever you see a flower blooming it makes you bloom and grow!” Yes I know it’s kinda weird but it’s true! Your growing and there blooming, I’m not used to write a long paragraph but I think this needs a long nice paragraph 📄, anyways um more about the 4 years old... I also stopped writing because my mom didn’t like when I write! But now since I’m in my own apartment I can do whatever I want (of course I’m gonna clean my walls and floors!) even I want to read again!
Stay healthy stay sweet and don’t forget to be nice to each other ❤️ Baiiii!",pucca12027,5,Brother this is amazing!,False,reflectly-journal-ai-diary,1241229134,
2020-02-28 12:06:24,"Ok so I really love this app, it’s really nice and aesthetic. It’s so fun to write your whole day down. What your mood was, the things you did today, and then you can look back at all those stories. Which is a lot of fun and very relaxing. 
I do have a couple of problems though. So I was browsing and I accidentally hit the log out button. Obviously you can log back in, but when I logged back on everything was gone. I was literally going to cry. The whole thing was gone, it said I had no stories or streaks or anything. I was able to download my data and get it sent to my email, but I then had to rewrite everything. Which I was willing to do. I started writing one then went to bed. I woke up and looked at it and it was still gone. The poof it’s all back, I don’t know how but it was all back there. Ok my next problem. I do love Reflectly but to only be able to do one thing in not premium is annoying. So basically you have to enter 7 stories and you unlock your status. Then I’m going to look at my status and it says you have to have premium. I will pay for premium but I don’t want to, I’m going to save up my money. I read this in one review and I thought it was a good idea. You could complete like a certain amount of stories to unlock let’s say status. Actually unlock it though, be able to look at it and everything. So personally if this was my game I would do this. Thank you.",avebud,3,Love it but some things are bad.,False,reflectly-journal-ai-diary,1241229134,
2020-08-18 20:20:24,"I absolutely love reflectly! BUT... there is one thing. The only thing I am a bit dissatisfied with is the lack of options that the people who do not want to pay a subscription for the “premium”. (Keep in mind that the subscription is QUITE a bit of money!) So reflectly, I would really appreciate it if you guys could add some more options for the people who don’t want to pay the monthly subscription. Other than that, I would love to elaborate on how much I LOVE LOVE LOVE this app! First of all, this app helps so much with daily check ins (if that makes any sense) on how the users of this app days are going, and the way that this app doesn’t just leave us all struggling (this is me) to search our mind of what to write about the day we had— it gives us good and realistic questions to answer. I also must add that the feature of adding pictures to the journals is amazing because you never know when one of us users may want to sneak in a pic of a nice day at the beach, cool food etc. overall, I love this app and am looking forward to the future updates. Thank you for taking this time to read this rewiew!!! 👌❤️😁 truly pleased— these 5 golden stars are all shining bright and true!!!",😀👌❤️lovely_app_reviewer!,5,Reflectly! 😀 (please read!),False,reflectly-journal-ai-diary,1241229134,
2020-05-20 21:12:51,"I just completed my first story, and it felt good to have something to write my feelings down in with major convenience. You don’t have to write anything (but you have the option to), it asks you to rate you day, what made you’re day that way, and how you felt throughout the day (you just press which one you feel, there plate options for this part, no typing required) There are also achievements that you can earn as time goes on. 
*update* 
I’ve been using the app for a while now, and I was really enjoying it, but today when I went into the app it said I had to login, which I’ve never had to do before. I don’t think it ever made me set my email to it or make an account, because I tried the password recovery multiple times and it just said that something went wrong. So now I can’t access any of my previous stories, which I’m very upset about because the main reason I got this app was so that I could go back and read them in the future, and it was more convenient to use than pen and paper. I guess I’ll be sticking to using paper from now on because all of my time just got wasted with this app. I would recommend this app because it has a good layout and it is more convenient than keeping a hand written journal, but for me personally it is not worth the risk of losing it all because the app all of a sudden needs you to “sign in”.",Mb120983746632,2,Brand new and loving it,False,reflectly-journal-ai-diary,1241229134,
2020-05-12 17:43:15,"This app is amazing. I have tried to start journals before and have always failed. I am not much of a big writing fan, when I would write in a journal I would not get to write everything I wanted because I didn’t want to write that much. My mind was going to fast for my hands so I would write summaries of what was going through my head. This made for a not so good journal entry. I would also forget to write often or just simply choose not to because I didn’t feel like writing. Luckily I am a faster typer than a writer so I am able to keep up with the thoughts going through my head. It is also a lot easier to write everyday because I can choose to get notifications. The app also has an amazing design that is pleasing to the eye ,and all my little entries look super neat rather than my sloppy- tired of writing, handwriting. I would definitely recommend this app to anyone who doesn’t know how go express their feelings or feels like they have no one to talk to because it is a great way to get those feelings off your chest. That is actually why I got this app because I struggle with talking about how I feel so, being able to write about has allowed me to relieve a lot of stress.",TheNauds,5,Love this app,False,reflectly-journal-ai-diary,1241229134,
2020-06-05 00:45:57,"The app itself is great. It has a really nice concept, it isn’t glitchy, it’s calming and entertaining. It does what it says it’s going to do. So the reason I put this as a four star rating is because to get the fully version you have to pay money. This is the case with a lot of apps, but this one in particular has not a lot of features without paying. I personally don’t want to pay money to get extras in an app that’s meant for writing. But the point of this app is to pretty to much have an online diary so it’s great. The other reason this is not a five star rating is because the app will sometimes delete what I have previously written and make me start over. For example, a few weeks back I wrote in this app every day. I stopped for some time and I today went back to look at my old writing and it was gone. I had to start from scratch with all of my preferences and my name. It isn’t the most convenient but it is overall a good app. It works for me, but if you’re looking for something a little bit more reliable it could be a little bit frustrating. But it has a nice aesthetic and calming effect, so I would recommend for those who need some interaction and somewhere to just process your day or something you are going through.",kittyawsomness,4,Good,False,reflectly-journal-ai-diary,1241229134,
2020-09-11 02:20:12,"I just wanted to say how awesome and considerate the people who made this app are. Out of everything they could’ve done, they chose to make something that would help us grow mentally and spiritually. I hope this app grows, just like the people who used it have. Great app and awesome features. I like how there are a lot of different moods, situations, and causes to choose from. I love how you guys helped me to realize how I was feeling, and how there was more to me than happy and sad. It’s really good for people who don’t have someone to talk to at the moment, and for people who just had a bad encounter. I like how it’s not complicated and the aesthetic is relaxing and makes me feel...supported? 😂 I’m not sure how to explain it, but if you don’t download this app you’ll miss out and regret it. I didn’t know if at the time, but this app would be the point in my life where I decide to be more patient, grateful, kind, not wasteful, and put myself in other peoples shoes. I’m still very very young (a lot younger than you may think) but this app inspired me to let God take control of my life. Thank you guys a lot! Make sure to take care of yourselves and don’t put too much pressure on yourselves.",MS ANONYMOUSE,5,You guys are so awesome!,False,reflectly-journal-ai-diary,1241229134,
